userid,canceled
0014163a53056db3f10e,TRUE
00164e47967b306239e8,TRUE
0016e5b445a29e9cbfcc,FALSE
002e4faffad3be6b0f95,FALSE
003ef43de19023179562,FALSE
00402661d6fb30a9755b,FALSE
0044a682e415caab74b3,FALSE
004536fa45ac76c2642e,FALSE
00539bac05fbc17ca1f7,FALSE
005a8cc5a6d05c6230df,FALSE
005e3acf09fa01644f4a,FALSE
00a1ed31f06ed601a640,TRUE
00bdc9674fc7b48c9c73,FALSE
00c2e5d8d343e5ded2e6,TRUE
00f1509a1091d75f6582,TRUE
012e70bd197a5ff0af5b,FALSE
012e94d0069e5c5a1260,FALSE
0156a46ca6be1bc36c33,TRUE
01750e96d361107c6a7f,TRUE
0175778a4d19747eb98c,FALSE
017febe21893719cdde1,FALSE
0183f91bdd72b4b0d025,FALSE
018809f396f86c8e5df3,TRUE
0188dd0380c9509440de,TRUE
01909f4a6b6245b2b764,FALSE
01a6b8d52c8d96619bbc,FALSE
01e7c0abd3b732a99460,FALSE
01fd51f53b6c094351c0,FALSE
020397c2344d36745bb7,FALSE
020c97e01664cc1b1555,FALSE
0210d0e06270d3af3965,TRUE
0213de5c0c982c5c6eaf,FALSE
0223d7b18821a38c3134,TRUE
029241e125aed7349dab,FALSE
02a78439aec1b3920a79,FALSE
02afca3a690158983c80,FALSE
02c26eff522df715671f,TRUE
02db5348c26cb03d8990,TRUE
02f621d3fc44710c17f2,FALSE
0305f8466e85708aa52c,TRUE
0323f2d866d44c915f24,TRUE
0325c83c9a61817f43e7,FALSE
03341520430f2f3c6f0c,FALSE
033dc8e1bcaf4ced6264,TRUE
03673eedf9cea90344c3,FALSE
038f187269364fc468a3,FALSE
038f8fa87dcf01a1eb07,FALSE
03960726048f9360ba5a,FALSE
039d35c260cc550f0710,TRUE
03c0f8c98177c9d6e630,FALSE
03e3663c655c0ded9f8b,TRUE
03e69edb7e8adff3385e,TRUE
041585b8504ca34f3458,FALSE
04172df9ed842f6875d7,FALSE
0450ffd7356d57d86d4d,TRUE
0452e6cb4b8d14f60a21,TRUE
048175bf7590ebbf046c,FALSE
048e3e65613429c91e86,FALSE
04b97cebb3707be9569e,FALSE
04ba2cf9ce6d3e010c2c,FALSE
04bec26a45b72e62bc14,FALSE
04d2f7d5f0111e31225e,FALSE
04d4f1fd5e17e4cf1397,TRUE
04ed056f48f424972197,FALSE
04f0a95fa24231db21af,FALSE
04f9c91fbda5a6350588,TRUE
0516cbf25aee8dabeac7,TRUE
05472f9e2fd74458f145,FALSE
056460879514c02bc71a,FALSE
056b3cdeaf819abc6cd4,FALSE
05740ab6d26428770635,FALSE
059e52cdd8336b611246,FALSE
05ae7a346403f90e99e9,FALSE
05bb6df0647eb1808355,TRUE
05cd579514ed53bfff6f,TRUE
05d628c73e98c168221c,TRUE
05d76d676edbc542ac70,FALSE
05debeacdd5ae9179556,FALSE
05e6b5264193d27a446c,TRUE
060e5b51b05272a70d62,TRUE
0619ccf07125e8f9ddee,FALSE
061f8f88fd92a75548ed,TRUE
065018c7c90b7b9462dc,TRUE
0651ee0eeab8155418b4,FALSE
066f305415727f2a0f1b,TRUE
067ddeccfb47a6ce02dd,TRUE
06907dab32cb7e120aaf,FALSE
071c6e3b9ecb23d66bcf,TRUE
07337e4084bc34823679,FALSE
07701444ee6e730a5bd8,TRUE
07712b0231df75cde376,FALSE
0773ced27c8dc689c9ca,TRUE
07b00f49de676ee6f0ea,TRUE
0800acb3003bffcd505c,TRUE
080c5be5cfdd4a4d4963,FALSE
081e5f20173f2fd8bf6b,FALSE
083885b6dafc98b936b4,TRUE
08dad023c93a6914f8e8,FALSE
09060fd548c50a390a93,TRUE
091b6b124de60c1bf908,TRUE
093df78d8dc3bad17e17,TRUE
095f00acf67a70db64e8,FALSE
09602a2dbed6e668a673,TRUE
0965605a5de111656afb,FALSE
09766bd03ca315cd95f2,FALSE
0984cc8a5f8c64c09106,FALSE
099e4489971a5635e865,TRUE
09a13b216100928d5601,FALSE
09c2a2f7508e7afbd5a8,TRUE
09c4406f311ee353ce5d,FALSE
09d9108ababe6afee279,FALSE
0a4a87fe90c0f829e6a3,TRUE
0a77e2d698f8e3be9da8,TRUE
0ad1d79d965998a217a8,FALSE
0ad6beb6b80fdaa8c149,FALSE
0af6c12f6452cc8db37f,TRUE
0b12e2aaba8fb6517a6e,FALSE
0b144e87ae83e11b7fb0,FALSE
0b3992d513129978fb53,TRUE
0b3f6d51220f8adef5e1,FALSE
0b5383287c3902ac3b04,FALSE
0b6a47c247d21a3d8ac6,TRUE
0b7655abaec873f772a4,TRUE
0b7af4fc2ff4d9814d9b,TRUE
0b8fc7721df05ec7d2d3,TRUE
0bb6b6c46eb9348775d2,TRUE
0bb9714a8f4cf39923fc,FALSE
0bc418309e3d52481c44,FALSE
0bf365bb3711543306a6,TRUE
0bf94ff205a117159b49,FALSE
0c0bde10975996a4ea14,FALSE
0c2002982c3fb664d20a,FALSE
0c2279df0d417cd93098,FALSE
0c6163e76d264de72ac4,FALSE
0c8354325b2fbae75512,TRUE
0c84d4a175ca9f730be1,TRUE
0ccb6e9a06108679c79b,TRUE
0cde2ad8baa2133a60a7,TRUE
0ce52ed6b6a169fbb39e,FALSE
0d438033afe73674d61c,FALSE
0d5d7dd87bdd511dbecb,TRUE
0d8ce9e07cee0514552b,TRUE
0dcc77adbbe22216f598,FALSE
0dd4a3307e99fe49d65e,FALSE
0e3c784adc9db852c69e,FALSE
0e5bf188a8748148463e,TRUE
0e65b5b2a55eb13d50b9,FALSE
0e6fa67ac24f89783dc3,FALSE
0e9432ed4763d7f9f1d7,TRUE
0e9f5b6f764c7c81545d,TRUE
0eb7f028c66374f059c2,TRUE
0ec487f8856fdc01aed4,TRUE
0ec7e7c0bafc30152bd4,TRUE
0ee41eaffc4059225cde,TRUE
0f5e45f207faca36da45,TRUE
0f62fa70afdbaa9649b4,FALSE
0f8265eb14298c525545,FALSE
0f84a6a63089aa82f911,FALSE
0fca1b023aeca4e55ef6,TRUE
0fd8299ffd0b6efac22c,TRUE
0fea8a47b264dc319fb0,FALSE
101bdbd7,FALSE
10456b1ebb500ffd7743,FALSE
1047207a,FALSE
10515102,FALSE
106a9eeebe0fd38a29d3,FALSE
1079c0b6,FALSE
10a132da90904f6881b5,FALSE
10b9f675194faa5dcb26,TRUE
10e52f593aaf2cbb8cff,TRUE
10f54037,FALSE
11175fb2,TRUE
112cccf377afae73ba78,FALSE
1166d5b9113e5de983d5,TRUE
116c45483cacd55f7f93,FALSE
116ec2ebea0f567369f3,TRUE
11acd84bab1ea5c49d73,TRUE
11b150d2,TRUE
11d0dd250de1c42f2fee,FALSE
11da80776b3204715320,FALSE
11e1f561,FALSE
12143aba,FALSE
123a88bd80da71b9262a,TRUE
125a4cb5b59992ac9274,TRUE
1266ffd3834663ed7cc8,FALSE
12679f6153ac902a683b,TRUE
127352722f8222bc004b,TRUE
1294d1a6,FALSE
12a62c2e,TRUE
12aeaf2b,FALSE
12cdecf2bfea297f2123,TRUE
12e2f553,TRUE
12f5911db39eb807df9d,FALSE
12f6eb8447587dae4139,TRUE
1336b692238b9c5c3492,TRUE
133831622b49d3e89f18,FALSE
134d51dc,FALSE
13aa7f9fd56be302dc14,TRUE
13b9cf98c94e8dc73960,FALSE
13bc3d93cd82c2c22766,TRUE
13f1a3a4,FALSE
13fac5c2bea38b4190c5,FALSE
142227b6f57dff35c084,FALSE
145df748,TRUE
14697d59792a8a669775,FALSE
147509ec,FALSE
14a17dad7756af03a79d,TRUE
14ad989a849633008cf2,FALSE
14e26323,FALSE
14ee868f,FALSE
150e892f,FALSE
15181a4e,FALSE
151ffc03eff61a674128,TRUE
1526da4833690c349f97,TRUE
1526ea9c5595ee38ee35,TRUE
1570a3267a0fb791a846,FALSE
15b31791,TRUE
15ba725d,FALSE
15c68c041bbd36bf8af7,FALSE
15f0b987ff696a799487,TRUE
15fa9424addef6e140be,TRUE
16167fb3b793eb6e9c52,FALSE
162481c3,FALSE
162b161abdeb41a92d6a,TRUE
16301d3d099fdb31a655,FALSE
16394c5970e3b5f70f71,TRUE
16594eb3002c32eaefd9,FALSE
165fd36b344877dfc15b,TRUE
16740a65b85a5714439d,FALSE
16ada5b2d20d3dea3264,FALSE
16bf5d4577888b3f983a,FALSE
16e6422bc379e93617d6,TRUE
1760912df37680981621,FALSE
177a02d27bfe22f80168,TRUE
1780e7a2d5e053702a9f,TRUE
17b8601b7187acbd739c,FALSE
17c18a9e,FALSE
17d5c31ec8d663a51557,FALSE
17ddbf5cae78c28ab293,TRUE
17eb7868b5d08a557e9e,TRUE
17f1a74e,FALSE
1802f310,FALSE
1824b7593c0dd75c2e9f,FALSE
18275c16cdf00a4ba3e3,TRUE
